variable,n,mean,median,sd,min,max,skewness,missing_pct
season,842,2023.9845605700712,2024,0.8136756836760004,2023,2025,0.028203911210984572,0
week,842,9.266033254156758,9,5.378029086037029,1,18,0.038899963091033204,0
game_id,842,401662351.74703085,401671741.5,91903.1583368811,401547227,401772970,-0.09875602438534845,0
home_score,842,20.866983372921613,22,12.423707828830016,0,70,-0.012876545170074897,0
away_score,842,18.57719714964368,19,11.4168389615119,0,51,0.04250286827100703,0
home_passing_yards,842,202.09026128265967,220,108.82079619208508,0,509,-0.5194017499756619,0
home_passing_touchdowns,842,1.3028503562945368,1,1.222934405526251,0,6,0.8304273638663129,0
home_passing_first_downs,842,9.58907363420427,10,5.380395500343136,0,27,-0.3514906638317445,0
home_passing_interceptions_thrown,842,0.6152019002375293,0,0.8455840495607388,0,5,1.4813927512508716,0
home_passing_long,842,32.25178147268416,32.5,19.59636157133438,0,98,0.19221848991532356,0
home_rushing_yards,842,99.99762470308775,100.5,63.522969482714046,0,350,0.2443653437089339,0
home_rushing_touchdowns,842,0.8254156769596193,1,0.9514592988040457,0,5,0.9986086165591401,0
home_rushing_first_downs,842,5.741092636579569,6,3.8403883750622474,0,20,0.27688027820414757,0
home_rushing_long,842,18.059382422802848,15,15.27983255315285,0,87,1.552553467198418,0
home_fumbles,842,0.9358669833729243,1,1.0608909819146812,0,5,1.1899491512872789,0
home_fumbles_lost,842,0.4394299287410934,0,0.6874195889550963,0,4,1.5891416500561393,0
home_turnovers,842,1.049881235154399,1,1.1580791982406748,0,6,1.1233831849688247,0
home_third_down_conversions,842,4.305225653206642,4,2.6826959054645148,0,12,-0.04386742694636625,0
home_third_down_attempts,842,11.919239904988112,13,5.730419104014708,0,23,-1.113759240656993,0
home_fourth_down_conversions,842,0.6793349168646092,0,0.9014590020660977,0,4,1.3443570548225974,0
home_fourth_down_attempts,842,6.343230403800474,7,3.4326900204963455,0,18,-0.4739329673751278,0
home_penalties,842,5.191211401425185,5,3.343621354553842,0,17,0.10979190978955908,0
home_penalty_yards,842,42.34916864608079,41,29.976831014023908,0,150,0.4488443974010243,0
home_sacks_taken,842,2.0593824228028463,2,1.916518990321113,0,11,0.9551721940086826,0
home_sack_yards_lost,842,13.539192399049908,11,13.452484162550675,0,68,1.093521737110549,0
home_field_goals_made,842,1.4655581947743452,1,1.3191632430782696,0,7,0.76517510209738,0
home_field_goals_attempted,842,1.7161520190023734,2,1.4121775178441052,0,7,0.5981753484839997,0
home_field_goal_longest,842,30.365795724465556,37,21.353079985599784,0,65,-0.44737773158036404,0
home_passing_yards_allowed,842,192.29453681710208,207,103.84359497553406,0,497,-0.4832402942778415,0
home_passing_touchdowns_allowed,842,1.1674584323040362,1,1.1159786185697271,0,5,0.7544215607518254,0
home_rushing_yards_allowed,842,96.08076009501178,98,60.69906381138457,0,314,0.15122471208792598,0
home_rushing_touchdowns_allowed,842,0.7137767220902623,0,0.9084228601125028,0,4,1.2494629334702223,0
home_turnovers_forced,842,1.0498812351543987,1,1.1611553699872907,0,5,1.0182128846809793,0
home_interceptions_made,842,0.6258907363420422,0,0.8552527645425814,0,5,1.3203745519523549,0
home_fumbles_forced,842,0.42517814726840725,0,0.68253760205129,0,3,1.6268271069030236,0
